Hello!	Nǐ hǎo!	你好！
What are you saying?	Nǐ shuō shénme?	你说什么？
What did you do?	nǐ zuò le shénme ?	你做了什么？
I know how to do it.	Wǒ huì zuò.	我会做。
Did you miss me?	nǐ xiǎng wǒ le ?	你想我了？
They know how to do it.	Tāmen huì zuò.	他们会做。
What are they talking about?	Tāmen zài shuō shénme?	他们在说什么？
Do you know how to do it?	Nǐ huì zuò ma?	你会做吗？
What do you do for work?	Nǐ zuò shénme gōngzuò?	你做什么工作？
What does she do for work?	Tā zuò shénme gōngzuò?	她做什么工作？
What's the matter?	zěnme le?	怎么了？
Are you listening to me at all?	nǐ zài tīng wǒ shuō ma ?	你在听我说吗？
Listen to him.	Tīng tā shuō.	听他说。
He can't do it.	Tā bù huì zuò.	他不会做。
Where do you work?	Nǐ zài nǎli gōngzuò?	你在哪里工作？
Where are you going?	Nǐ qù nǎli?	你去哪里？
Where would you like to go?	Nǐ xiǎng qù nǎli?	你想去哪里？
Where are you from?	Nǐ shì nǎli rén?	你是哪里人？
Where is she from?	Tā shì nǎli de rén?	她是哪里的人？
Where would you like to go to eat?	Nǐ xiǎng qù nǎli chī?	你想去哪里吃？
What do you want?	nǐ xiǎng yào shénme ?	你想要什么？
I want to take a look.	wǒ xiǎng kànkan.	我想看看。
You've done the right thing.	Nǐ zuòduì le.	你做对了。
Give me a look.	Gěi wǒ kàn.	给我看。
I love you.	Wǒ ài nǐ.	我爱你。
Do you like your work?	Nǐ xǐhuan nǐde gōngzuò ma?	你喜欢你的工作吗？
He does not like his work.	Tā bù xǐhuan tā de gōngzuò.	他不喜欢他的工作。
The students don't listen to me.	Xuésheng bù tīng wǒ shuō.	学生不听我说。
I like China.	Wǒ xǐhuan Zhōngguó.	我喜欢中国。
Is China big?	Zhōngguó dà ma?	中国大吗？
China is very big.	Zhōngguó hěn dà.	中国很大。
Who is he?	Tā shì shéi?	他是谁？
Who is your student?	Shéi shì nǐ de xuésheng?	谁是你的学生？
How do I get to Beijing?	Wǒ zěnme qù Běijīng?	我怎么去北京？
She will to go to Beijing.	Tā yào qù Běijīng.	她要去北京。
Would you like to go to Beijing?	Nǐ xiǎng qù Běijīng ma?	你想去北京吗？
I'm going to Beijing.	Wǒ yào qù Běijīng.	我要去北京。
She would like to come to China.	Tā xiǎng lái Zhōngguó.	她想来中国。
She would like to come to Beijing.	Tā xiǎng lái Běijīng.	她想来北京。
What do you want to do today?	Nǐ jīntiān xiǎng zuò shénme?	你今天想做什么？
What would he like to do today?	Tā jīntiān xiǎng zuò shénme?	他今天想做什么？
I am wondering if you will come today.	wǒ zài xiǎng nǐ jīntiān huì bu huì lái.	我在想你今天会不会来。
When will you come to China?	Nǐ shénme shíhòu lái Zhōngguó?	你什么时候来中国？
The student did not come.	Xuésheng méi lái.	学生没来。
I wonder who has come.	wǒ xiǎng zhīdào shéi lái le .	我想知道谁来了。
Where are you from?	Nǐ cóng nǎli lái?	你从哪里来？
Where is he from?	Tā cóng nǎli lái?	他从哪里来？
What time does it start?	shénme shíhou kāishǐ ?	什么时候开始？
He began to look for a job.	tā kāishǐ zhǎo gōngzuò le .	他开始找工作了。
He is my friend.	Tā shì wǒde péngyou.	他是我的朋友。
I like your friend very much.	Wǒ hěn xǐhuan nǐ de péngyou.	我很喜欢你的朋友。
